CarAge,Mileage,EngineSize,HorsePower,FuelEfficiency,BrandValue,OwnerCount,Price
6,72055,2.9,102,11.2,2,1,3141874.09
3,92697,2.3,92,27.8,7,2,3869810.73
12,111239,4.8,402,11.8,4,5,4037147.84
14,240469,4.3,123,15.8,1,3,2091167.77
10,128106,3.8,378,16.3,6,2,4382423.02
7,10355,3.4,118,17.8,5,3,3749004.1
12,59120,4.3,147,25.4,2,5,3156907.75
4,210691,2.6,405,25.6,6,4,4110890.22
6,43342,2.8,427,23.8,1,4,4151630.52
9,222064,3.9,191,8.5,3,5,2882402.25
2,214932,2.4,428,20.4,4,3,4290343.43
6,7257,1.3,159,24.4,3,2,3497642.99
10,32364,1.3,415,17.8,6,5,4176311.68
10,161044,1.5,262,28.8,4,5,3109705.46
7,116715,4.5,485,26.1,1,4,4612942.36
4,31654,2.9,446,22.0,5,2,5071497.96
3,216841,3.9,313,9.4,5,4,4033200.54
7,86423,2.6,218,22.4,9,3,4128730.69
7,34320,2.0,215,28.1,8,3,3968693.81
2,25808,2.4,385,16.3,8,1,5156850.6
5,57389,4.2,447,26.4,5,5,4908726.97
4,231762,3.5,210,14.9,8,2,3895367.36
1,123581,4.8,477,20.5,7,2,5578925.67
7,132927,3.7,355,22.3,1,4,3989684.82
11,39773,3.3,455,22.9,7,4,4722116.62
13,187240,3.4,408,27.4,8,2,4454880.9
5,163819,4.8,180,13.2,3,4,3670501.97
1,81396,4.2,177,13.8,9,1,4673442.2
11,244446,1.1,436,23.5,8,5,3656075.51
4,112692,3.1,350,11.9,2,1,3997829.42
0,219764,3.8,119,18.2,6,3,3777952.81
11,62505,4.0,83,8.4,4,2,2950555.99
9,90896,1.9,203,11.1,3,1,3135034.5
5,23135,4.5,145,22.9,6,1,4235834.51
12,95887,4.8,153,24.4,9,4,3576919.97
11,127118,1.9,412,10.5,2,4,3597318.45
8,232107,4.5,227,13.0,5,4,3353971.83
0,52377,1.4,355,10.2,6,3,4248531.55
10,159626,1.2,491,17.5,4,1,4042917.71
10,67491,1.5,383,10.8,7,5,3688322.92
14,191693,1.2,163,17.6,2,4,2105477.79
9,63283,4.4,366,24.1,7,3,4815601.49
11,221212,1.2,163,23.0,2,3,2505602.2
11,21923,2.1,126,14.2,1,4,2387743.35
14,52591,1.4,233,22.8,5,2,3433808.22
13,67261,2.2,389,28.4,2,1,3964117.21
13,59336,1.4,167,15.6,8,4,2840955.02
14,79083,3.7,85,15.2,8,5,3210803.63
13,65948,1.5,413,20.6,1,1,3634487.12
2,245891,4.4,147,13.4,4,3,3204641.79
11,169074,4.3,415,22.3,9,5,4657215.46
6,216170,1.1,141,26.3,5,1,2814654.03
3,209088,4.6,339,18.1,6,5,4531669.16
8,31672,1.1,356,22.9,3,3,3871690.53
2,9213,2.0,135,22.3,5,4,3724477.54
4,146365,1.1,437,8.9,1,5,3455158.83
2,236049,2.3,137,12.0,8,4,3117314.4
6,191932,3.1,262,27.7,6,3,3909773.79
4,67507,4.2,124,28.7,2,3,3454098.9
8,62134,2.4,448,25.2,4,5,4518981.8
6,138172,3.8,237,28.3,4,5,3703261.92
1,246225,1.8,478,14.7,9,3,4718366.65
3,198069,4.0,94,13.4,9,5,3590267.73
8,33172,1.9,200,16.5,5,5,3349373.1
11,25132,1.6,394,9.2,3,5,3811190.44
13,23199,1.7,171,25.8,1,5,2379849.71
1,41609,1.7,443,29.7,6,1,5428740.84
9,179037,3.1,351,26.1,8,3,4230002.34
8,144088,4.4,365,20.2,1,3,3874053.78
9,175851,1.3,363,14.5,1,2,3358295.67
4,238869,3.8,491,12.3,7,4,4813916.57
1,36881,3.6,332,16.0,7,2,5079607.89
3,218666,4.5,483,22.7,2,5,4558540.04
11,29472,2.0,189,17.8,3,5,2888764.1
14,242954,2.8,472,28.5,2,1,3568796.69
11,236534,4.7,300,26.8,6,1,4153288.28
6,187885,3.6,360,10.3,8,1,4542855.38
11,236440,2.6,230,10.9,8,1,3317478.05
12,172093,1.5,230,22.9,1,1,2643171.4
